date,site,id,watershed,ecoregion
1996-07-16,WOK4,wok4d7,WOK,Badlands
1996-07-16,WOL1,wol1d7,upper WHR,Sandhills
1997-07-30,POR1,por1e7,WOK,Great Plains
1996-07-30,POR2,por2d8,WOK,Great Plains
2008-06-09,AMH1,amh1p6,MER,Great Plains
2008-06-11,MER1,mer1p6,MER,Great Plains
2008-06-09,MER3,mer3p6,MER,Badlands
2008-06-11,MER4,mer4p6,MER,Badlands
2008-06-09,NFL1,nfl1p6,MER,Great Plains
2008-06-10,RED1,red1p6,MER,Great Plains
2008-06-12,WHI3,whi3p6,MER,River
2010-06-21,BLP1,blp1r6,PAS,Great Plains
2010-06-21,BUZ1,buz1r6,PAS,Great Plains
2010-06-24,LWR1,lwr1r6,LWR,Sandhills
2010-06-23,LWR2,lwr2r6,LWR,Sandhills
2010-06-24,LWR3,lwr3r6,LWR,Sandhills
2010-06-21,PAS1,pas1r6,PAS,Great Plains
2010-06-21,PAS2,pas2r6,PAS,Great Plains
2010-06-21,PAS3,pas3r6,PAS,Badlands
2010-06-23,POR1,por1r6,WOK,Great Plains
2010-06-22,POR2,por2r6,WOK,Great Plains
2010-06-22,POR3,por3r6,WOK,Badlands
2010-06-24,WOK1,wok1r6,WOK,Sandhills
2010-06-23,WOK2,wok2r6,WOK,Great Plains
2010-06-22,WOK3,wok3r6,WOK,Great Plains
2010-06-07,WOK4,wok4r6,WOK,Badlands
2011-06-15,CHE1,che1s6,CHR,Great Plains
2011-06-13,CHE2,che2s6,CHR,Great Plains
2011-07-21,LWR1,lwr1s7,LWR,Sandhills
2011-07-31,LWR2,lwr2s7,LWR,Sandhills
2011-08-17,LWR3,lwr3s8,LWR,Sandhills
2011-08-08,LWR4,lwr4s8,LWR,Sandhills
2011-06-13,POR1,por1s6,WOK,Great Plains
2011-06-13,POR2,por2s6,WOK,Great Plains
2011-06-13,POR3,por3s6,WOK,Badlands
2011-06-16,WCC1,wcc1s6,upper WHR,Great Plains
2011-06-16,WCC2,wcc2s6,upper WHR,Great Plains
2011-06-05,WCC3,wcc3s6,upper WHR,NW Great Plains
2011-06-16,WHI1,whi1s6,upper WHR,River
2011-06-15,WHI2,whi2s6,WOK,River
2011-06-14,WOK1,wok1s6,WOK,Sandhills
2011-06-17,WOK2,wok2s6,WOK,Great Plains
2011-06-14,WOK3,wok3s6,WOK,Great Plains
2011-06-14,WOK4,wok4s6,WOK,Badlands
2011-06-15,WOL1,wol1s6,upper WHR,Sandhills
2012-06-11,BEA1,bea1t6,BEL,Great Plains
2012-06-11,BEA2,bea2t6,BEL,Great Plains
2012-06-11,BEA3,bea3t6,BEL,Great Plains
2012-06-11,BEL1,bel1t6,BEL,Great Plains
2012-06-13,BEL2,bel2t6,BEL,Great Plains
2012-06-13,BLP1,blp1t6,PAS,Great Plains
2012-06-12,CRA1,cra1t6,PAS,Great Plains
2012-06-12,EAN1,ean1t6,BEL,Great Plains
2012-06-08,LWR1,lwr1t6,LWR,Sandhills
2012-06-18,LWR2,lwr2t6,LWR,Sandhills
2012-06-20,LWR3,lwr3t6,LWR,Sandhills
2012-06-18,LWR4,lwr4t6,LWR,Sandhills
2012-08-20,MER1,mer1t8,MER,Great Plains
2012-08-31,MER3,mer3t8,MER,Badlands
2012-08-23,MER4,mer4t8,MER,Badlands
2012-06-14,PAS1,pas1t6,PAS,Great Plains
2012-06-14,PAS2,pas2t6,PAS,Great Plains
2012-06-14,PAS3,pas3t6,PAS,Badlands
2012-06-06,POR1,por1t6,WOK,Great Plains
2012-06-04,POR2,por2t6,WOK,Great Plains
2012-06-06,POR3,por3t6,WOK,Badlands
2012-06-04,WCC1,wcc1t6,upper WHR,Great Plains
2012-06-04,WCC2,wcc2t6,upper WHR,Great Plains
2012-06-08,WCC3,wcc3t6,upper WHR,NW Great Plains
2012-06-13,WHI5,whi5t6,BEL,River
2012-06-04,WOK1,wok1t6,WOK,Sandhills
2012-06-06,WOK2,wok2t6,WOK,Great Plains
2012-06-06,WOK3,wok3t6,WOK,Great Plains
2012-06-06,WOK4,wok4t6,WOK,Badlands
2013-06-19,BEA1,bea1u6,BEL,Great Plains
2013-06-20,BEA2,bea2u6,BEL,Great Plains
2013-06-20,BEA3,bea3u6,BEL,Great Plains
2013-06-19,BEL1,bel1u6,BEL,Great Plains
2013-06-17,BEL2,bel2u6,BEL,Great Plains
2013-06-17,BLP1,blp1u6,PAS,Great Plains
2013-06-17,BUZ1,buz1u6,PAS,Great Plains
2013-06-19,COR1,cor1u6,PAS,Great Plains
2013-06-18,CRA1,cra1u6,PAS,Great Plains
2013-06-19,EAN1,ean1u6,BEL,Great Plains
2013-06-20,EAN2,ean2u6,BEL,Badlands
2013-06-18,LON1,lon1u6,PAS,Great Plains
2013-06-21,MER3,mer3u6,MER,Badlands
2013-06-25,MER4,mer4u6,MER,Badlands
2013-06-18,PAS1,pas1u6,PAS,Great Plains
2013-06-17,PAS2,pas2u6,PAS,Great Plains
2013-06-17,PAS3,pas3u6,PAS,Badlands
2013-06-21,POR2,por2u6,WOK,Great Plains
2013-06-24,POR3,por3u6,WOK,Badlands
2013-06-19,POT1,pot1u6,BEL,Great Plains
2013-06-20,WHI5,whi5u6,BEL,River
2013-06-21,WOK2,wok2u6,WOK,Great Plains
2013-06-21,WOK4,wok4u6,WOK,Badlands
2014-06-27,AMH1,amh1v6,MER,Great Plains
2014-08-08,LWR1,lwr1v8,LWR,Sandhills
2014-06-18,LWR2,lwr2v6,LWR,Sandhills
2014-06-18,LWR3,lwr3v6,LWR,Sandhills
2014-06-11,MER1,mer1v6,MER,Great Plains
2014-06-10,MER3,mer3v6,MER,Badlands
2014-07-14,MER4,mer4v7,MER,Badlands
2014-06-26,NFL1,nfl1v6,MER,Great Plains
2014-06-16,POR2,por2v6,WOK,Great Plains
2014-06-14,POR3,por3v6,WOK,Badlands
2014-06-10,RED1,red1v6,MER,Great Plains
2014-06-16,WOK2,wok2v6,WOK,Great Plains
2014-06-09,WOK4,wok4v6,WOK,Badlands
