Reset,Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,LWR4b7,LWR4d7
166,Acari,Hydrachnida,8,From genera,,,
167,Acari,Hygrobates sp.,8,,,,
168,Acari,Sperchon sp.,8,,,,
169,Other Organisms,Lebertia sp.,8,,,,
170,Platyhelminthes,Platyhelminthes,-9999,Undetermined,,,
171,Platyhelminthes,Turbellaria,4,,PR,,
172,Tricladida,Planariidae,4,,,,
173,Arthronod/ worm like,Nematomorpha,,U,PA,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
