sta,station_nm,site_no,dec_lat_va,dec_long_va,alt_va,drain_area_va,contrib_drain_area_va,state_cd,county_cd,huc_cd,land_net_ds,coord_datum_cd,dec_coord_datum_cd,alt_datum_cd
lcr_bel,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",6449000,43.1459166,-101.5128713,3055,121,121,46,7,10140203,SESES25 T37N  R36W  6,NAD27,NAD83,NGVD29
lcr_vet,"LITTLE WHITE R NEAR VETAL,SD",6449100,43.10069918,-101.232234,2780.69,607,571,46,7,10140203,NENWS17 T36N  R33W  6,NAD27,NAD83,NGVD29
lwr_abv,LITTLE WHITE R ABV ROSEBUD SD,6449300,43.26305967,-100.9176459,2416,911,855,46,121,10140203,"",NAD27,NAD83,NGVD29
lwr_mar,"LITTLE WHITE R NEAR MARTIN,SD",6447500,43.1669155,-101.6327322,3045,313,299,46,7,10140203,NWSWNWS19 T37N  R36W  6,NAD27,NAD83,NGVD29
lwr_ros,LITTLE WHITE R NEAR ROSEBUD SD,6449500,43.3255586,-100.8837556,2294.99,1033,979,46,121,10140203,SWNWS28 T39N  R30W  6,NAD27,NAD83,NGVD29
lwr_whi,"LITTLE WHITE R BELOW WHITE RIVER,SD",6450500,43.60138549,-100.7498608,1912.78,1549,1495,46,95,10140203,SWNWS23 T42N  R29W  6,NAD27,NAD83,NGVD29
min_kil,"MINNECHADUZA CREEK NEAR KILGORE, NEBRASKA",6460900,42.9861111,-100.8972222,2770,85,,31,31,10150004,"",NAD83,NAD83,NGVD29
nio_abb,"NIOBRARA RIVER ABOVE BOX BUTTE RESERVOIR, NE",6454500,42.4597222,-103.1711111,4012.47,1400,,31,45,10150002,"",NAD83,NAD83,NGVD29
nio_bbb,NIOBRARA RIVER BELOW BOX BUTTE RESERVOIR NEBR,6455500,42.45638889,-103.0688889,3950.08,1460,,31,45,10150003,"",NAD83,NAD83,NGVD29
nio_cod,"NIOBRARA R NEAR CODY, NEBR.",6459000,42.82777778,-101.2838889,2770,5570,3490,31,31,10150003,"",NAD83,NAD83,NGVD29
nio_col,"NIOBRARA RIVER NEAR COLCLESSER, NEBR.",6457000,42.5438591,-102.4999187,,2220,,31,161,10150003,"",NAD27,NAD83,""
nio_dun,"NIOBRARA RIVER NEAR DUNLAP, NEBR.",6455900,42.46246306,-102.9240799,3870,1580,,31,45,10150003,"",NAD27,NAD83,NGVD29
nio_gor,"NIOBRARA RIVER NEAR GORDON, NEBR.",6457500,42.6397222,-102.2105556,3432.49,4290,,31,161,10150003,"",NAD83,NAD83,NGVD29
nio_hay,"NIOBRARA RIVER NR HAY SPRINGS, NEBR.",6456500,42.4833333,-102.6947222,3723.42,,,31,161,10150003,"",NAD83,NAD83,NGVD29
rap_cre,RAPID CR AT CRESTON SD,6422000,43.91665544,-102.7004506,2520,687,687,46,103,10120110,SWSWSES 32T   1SR  12E,NAD27,NAD83,NGVD29
rap_far,"RAPID CR NEAR FARMINGDALE,SD",6421500,43.94210239,-102.8539247,2699.74,603,603,46,103,10120110,SWSWSWS19 T01S  R11E  7,NAD27,NAD83,NAVD88
ros_ros,ROSEBUD CR AT ROSEBUD SD,6449400,43.2372267,-100.8576446,2531.91,49,49,46,121,10140203,"",NAD27,NAD83,NGVD29
sna_bur,"SNAKE RIVER NEAR BURGE, NEBR.",6459500,42.65388889,-100.8583333,2805.36,660,44,31,31,10150005,"",NAD83,NAD83,NGVD29
sna_dou,"SNAKE R AT DOUGHBOY, NE",6459175,42.61375,-101.2778333,3106.16,405,,31,31,10150005,"",NAD83,NAD83,NGVD29
sna_mer,SNAKE RIVER ABV MERRITT RESERVOIR NEBR,6459200,42.6036111,-101.0711111,2952.75,440,28,31,31,10150005,"",NAD83,NAD83,NGVD29
spr_her,"SPRING CR NEAR HERMOSA,SD",6408500,43.9416695,-103.1591456,3265.3,205,205,46,103,10120109,SESESES 21T  2N R  2E,NAD27,NAD83,NGVD29
spr_stf,SPRING CR NEAR ST FRANCIS SD,6449250,43.0725059,-101.0307063,2815.5,85.7,80.7,46,121,10140203,"",NAD27,NAD83,NGVD29
wcc_ogl,WHITE CLAY CR NEAR OGLALA SD,6445980,43.14651127,-102.6833116,3001.54,375,375,46,102,10140201,NWSESES30 T37N  R45W  6,NAD27,NAD83,NGVD29
whi_cha,WHITE R NEAR CHADRON NEBR,6445500,42.8333061,-103.117134,,750,,31,45,10140201,"",NAD27,NAD83,""
whi_cra,"White River at Crawford, Nebr.",6444000,42.68666667,-103.4177778,3659.85,313,,31,45,10140201,NESW  S3  T31N  R52W,NAD83,NAD83,NGVD29
whi_int,"WHITE R NEAR INTERIOR,SD",6446500,43.69388346,-101.9326516,2290.21,4101,4094,46,71,10140202,SWSES14 T43N  R18E  6,NAD27,NAD83,NAVD88
whi_kad,"WHITE R NEAR KADOKA,SD",6447000,43.7524949,-101.5248665,2122.18,4960,4953,46,71,10140202,SESES30 T03S  R22E  6,NAD27,NAD83,NGVD29
whi_ogl,WHITE R NEAR OGLALA SD,6446000,43.25484357,-102.8273511,2853.54,2156,2156,46,102,10140201,SWNES24 T38N  R47W  6,NAD27,NAD83,NGVD29
whi_roc,WHITE R NEAR ROCKYFORD SD,6446200,43.51443415,-102.4921161,2593.34,2902,2902,46,102,10140201,"",NAD27,NAD83,NGVD29
whi_slm,"WHITE RIVER AT SLIM BUTTE, SD",6445700,43.08970356,-102.7982327,3000,1426,1426,46,102,10140201,SESWSES 13T  36NR  47W,NAD27,NAD83,NGVD29
whi_sta,WHITE R NR NE-SD STATE LINE,6445685,43.013036,-102.8357327,3030,1367,1367,46,102,10140201,NESWNES15 T35N  R47W  6,NAD27,NAD83,NGVD29
whi_whi,"WHITE RIVER NEAR WHITE RIVER, SD",6447450,43.71304839,-100.6850534,1770,6209,6202,46,75,10140202,NWSESWS08 T04S  R29E  6,NAD27,NAD83,NGVD29
whi_wht,"WHITE R BELW COTTONWOOD C N WHITNEY, NEBR.",6445000,42.81138889,-103.1666667,3320,676,,31,45,10140201,"",NAD83,NAD83,NGVD29
wkc_wok,"WOUNDED KNEE CREEK AT WOUNDED KNEE, SD",6446100,43.14351647,-102.3583815,3200,73.5,73.5,46,102,10140201,NENWS36 T37N  R43W  6,NAD27,NAD83,NGVD29
